FREE	0x6000026441c0	0	0	src/server.c:186:4	3555820534	3555820631
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555828356	3555828500
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555831323	3555831450
MALLOC	0x7fb86fb04080	1001	1	src/server.c:174:14	3555835903	3555836291
MALLOC	0x7fb87900aa00	1032	1	src/logger.c:62:27	3555836757	3555836913
FREE	0x7fb87900aa00	0	0	src/logger.c:71:5	3555838993	3555839142
MALLOC	0x7fb87900a400	1017	1	src/smtp.c:171:43	3555839441	3555839627
FREE	0x7fb86fb04080	0	0	src/server.c:186:4	3555839963	3555840179
MALLOC	0x60000245c0e0	32	1	src/logger.c:62:27	3555842836	3555842983
FREE	0x60000245c0e0	0	0	src/logger.c:71:5	3555845131	3555845253
MALLOC	0x6000026441c0	2	1	src/server.c:174:14	3555845467	3555845594
MALLOC	0x600002a5c000	33	1	src/logger.c:62:27	3555845833	3555845925
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555847855	3555847963
FREE	0x60000245c040	0	0	src/smtp.c:20:9	3555857669	3555857817
FREE	0x7fb87900a400	0	0	src/smtp.c:20:9	3555858065	3555858359
FREE	0x600002640190	0	0	src/smtp.c:40:9	3555858522	3555858684
FREE	0x6000026441c0	0	0	src/server.c:186:4	3555858881	3555858985
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555866943	3555867108
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555870077	3555870212
MALLOC	0x6000026441c0	5	1	src/server.c:174:14	3555874906	3555875062
MALLOC	0x600002a5c000	36	1	src/logger.c:62:27	3555875373	3555875468
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555877565	3555877681
FREE	0x6000026441c0	0	0	src/server.c:186:4	3555887622	3555887727
MALLOC	0x600002a5c000	40	1	src/logger.c:62:27	3555895528	3555895696
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555898483	3555898618
MALLOC	0x6000026441c0	5	1	src/server.c:174:14	3555900419	3555900556
MALLOC	0x600002a5c000	36	1	src/logger.c:62:27	3555900862	3555900954
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555903011	3555903129
FREE	0x6000026441c0	0	0	src/server.c:186:4	3555912365	3555912479
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555920023	3555920183
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555922947	3555923063
MALLOC	0x7fb86fb04080	1001	1	src/server.c:174:14	3555941537	3555941862
MALLOC	0x7fb87900be00	1032	1	src/logger.c:62:27	3555942357	3555942492
FREE	0x7fb87900be00	0	0	src/logger.c:71:5	3555945057	3555945208
MALLOC	0x7fb879009200	1017	1	src/smtp.c:171:43	3555945552	3555945763
FREE	0x7fb86fb04080	0	0	src/server.c:186:4	3555946113	3555946321
